nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
Luciana Lavínia Martins;44;244.112.896-52;28.302.453-7;23/02/1979;Feminino;Peixes;Raimunda Maria;Carlos Benício Martins;luciana_martins@agenciaph.com;ttcR4hRC8i;77420-830;Rua 28-A;711;Parque Residencial Nova Fronteira;Gurupi;TO;(63) 2698-9352;(63) 99270-2610;1.69;75;A-;preto
Joana Kamilly Mendes;71;321.431.866-73;10.172.334-9;17/03/1952;Feminino;Peixes;Marlene Sophia;Renan Lucas Tiago Mendes;joana_kamilly_mendes@econe.com.br;ow81jQzWhs;69313-655;Travessa P-02;665;Caranã;Boa Vista;RR;(95) 2969-1291;(95) 98670-9404;1.68;63;A-;preto
Ana Isadora Pinto;27;884.093.439-16;19.039.358-0;21/03/1996;Feminino;Áries;Emilly Joana Daniela;Luís Emanuel Pinto;ana_pinto@lidertel.com.br;HqHzPkxdCi;59010-125;Travessa Altamira;425;Praia do Meio;Natal;RN;(84) 2679-7721;(84) 98748-8170;1.67;87;B+;azul
Breno Vicente Anderson Castro;32;187.486.206-02;49.773.503-9;23/03/1991;Masculino;Áries;Helena Sara Laura;Arthur João Castro;breno_vicente_castro@yazigi.com;AOshbWoJfM;59070-190;Rua Piancó;645;Cidade da Esperança;Natal;RN;(84) 2756-5160;(84) 99773-5072;1.97;90;O-;laranja
Vitor Heitor Lucas da Rocha;52;650.092.887-37;28.042.549-1;05/04/1971;Masculino;Áries;Marli Stella;Breno Theo Benjamin da Rocha;vitor.heitor.darocha@tivit.com.br;YwJE3i2qj3;29136-534;Rua Ministro Rui Barreto;452;Parque Industrial;Viana;ES;(27) 3570-4513;(27) 99354-6446;1.73;87;A-;preto
Alexandre Benedito Campos;41;439.165.776-70;15.441.094-9;23/02/1982;Masculino;Peixes;Antônia Luana;Emanuel Nelson Ruan Campos;alexandre-campos97@vivo.com.br;Zr7cUtuUQY;72231-622;Quadra QNP 16 Conjunto V;810;Ceilândia Sul (Ceilândia);Brasília;DF;(61) 3933-3800;(61) 98307-7946;1.72;62;O-;amarelo
Kevin Roberto Giovanni Souza;21;352.838.308-96;38.519.942-9;12/01/2002;Masculino;Capricórnio;Benedita Pietra Luzia;Fábio Theo Souza;kevinrobertosouza@luxafit.com.br;41ynqoDDZ9;57303-054;Rua Santo Expedito;320;Verdes Campos;Arapiraca;AL;(82) 3723-1992;(82) 98943-5256;1.88;102;B-;roxo
Carlos Eduardo Gustavo Heitor Carvalho;44;335.719.214-45;32.062.541-2;22/02/1979;Masculino;Peixes;Emily Isadora;Marcelo Juan Rodrigo Carvalho;carlos-carvalho83@focusgrafica.com.br;4dwbwyZ8X5;96405-100;Rua Paulo Barcelos da Silveira;197;Arvorezinha;Bagé;RS;(53) 2768-0792;(53) 98465-3833;1.81;54;A-;amarelo
Luís Leandro da Mota;32;640.262.369-51;25.500.289-0;25/03/1991;Masculino;Áries;Francisca Sônia Natália;Enzo César Cláudio da Mota;luisleandrodamota@lexos.com.br;DFekZxRCKf;57305-849;Rua Rufino Malaquias da Silva;876;Zélia Barbosa Rocha;Arapiraca;AL;(82) 3580-4993;(82) 98186-3711;1.68;99;AB-;amarelo
Mariah Luzia Esther Peixoto;72;701.996.861-90;38.010.899-9;26/02/1951;Feminino;Peixes;Elza Alana Priscila;Benício Edson Peixoto;mariahluziapeixoto@alvesbarcelos.com.br;YHMXxFouep;73805-232;Rua 12A;963;Jardim Oliveira;Formosa;GO;(61) 3559-0755;(61) 99362-3455;1.65;72;O-;roxo
Kevin Ruan Sales;68;097.460.654-59;39.330.172-2;23/02/1955;Masculino;Peixes;Sônia Sônia;Julio Anthony Yago Sales;kevin_sales@imeio.com;XRI1t4Cnib;35502-301;Rua Pirineus;617;Floramar;Divinópolis;MG;(37) 3989-6953;(37) 99670-8700;1.72;88;B-;vermelho
Diego Luan Moreira;72;111.983.334-56;22.057.074-7;16/04/1951;Masculino;Áries;Cecília Lorena Isadora;Filipe Vicente Luiz Moreira;diego_moreira@gabiaatelier.com.br;IrmuQ1LzfK;27965-085;Avenida Raphael Chrysanto Sampaio Guerra;582;São José do Barreto;Macaé;RJ;(22) 3501-9120;(22) 98589-7806;1.84;109;A-;vermelho
Vitória Andreia Tereza Silva;76;024.329.136-12;13.288.843-9;10/01/1947;Feminino;Capricórnio;Benedita Maitê;Giovanni Severino Silva;vitoriaandreiasilva@sebrace.com.br;qGDiEKuOkH;88900-037;Avenida Getúlio Vargas;262;Centro;Araranguá;SC;(48) 2840-2268;(48) 99925-6767;1.64;81;B+;vermelho
Danilo Guilherme Caio Ramos;42;844.255.375-48;21.153.949-1;12/01/1981;Masculino;Capricórnio;Julia Andreia;Alexandre Thiago Pietro Ramos;danilo-ramos80@mixfmmanaus.com.br;z886Gwjwix;04116-000;Avenida Prefeito Fábio Prado;596;Jardim Vila Mariana;São Paulo;SP;(11) 2536-1681;(11) 98493-2519;1.68;82;B-;laranja
Carolina Olivia dos Santos;67;341.444.502-60;45.887.738-4;13/04/1956;Feminino;Áries;Jéssica Marina;Oliver Yago Guilherme dos Santos;carolinaoliviadossantos@cathedranet.com.br;QQ8oFW8hPK;68901-264;Passagem Santa Catarina;964;Santa Rita;Macapá;AP;(96) 2540-3175;(96) 98410-6165;1.58;53;O+;azul
Noah Lorenzo Pires;43;651.115.345-20;44.624.641-4;05/03/1980;Masculino;Peixes;Regina Letícia Aparecida;Renan Raimundo Lucca Pires;noahlorenzopires@trilhavitoria.com.br;bdL0wJJ5Ps;56306-381;1ª Travessa Duque de Caxias;553;Vila Mocó;Petrolina;PE;(87) 3783-0766;(87) 99965-3822;1.97;58;B-;amarelo
Regina Agatha Pinto;63;125.434.470-59;33.812.675-2;04/01/1960;Feminino;Capricórnio;Teresinha Catarina Gabriela;Tiago Miguel Ian Pinto;regina_agatha_pinto@academiaconcerto.art.br;7za5yfQN7x;41940-120;Rua Conceição Menezes;792;Rio Vermelho;Salvador;BA;(71) 2769-6157;(71) 99788-7730;1.82;85;O+;vermelho
Sebastião Paulo Ian da Paz;38;569.658.585-08;48.448.077-7;02/04/1985;Masculino;Áries;Caroline Sandra Mariah;Davi Filipe da Paz;sebastiao_paulo_dapaz@innovatis.com.br;eU5RYtPung;35180-332;Rua Trinta e Seis;224;Timirim;Timóteo;MG;(31) 2746-4100;(31) 98286-6958;1.78;107;O+;azul
Cláudia Luna da Mota;25;889.853.459-07;42.261.402-6;22/04/1998;Feminino;Touro;Raquel Fátima Daiane;Renan Vinicius da Mota;claudialunadamota@cbsaperfeicoamento.com.br;LEcpd0sEq1;89290-159;Rua Amanda Roesler;793;25 de Julho;São Bento do Sul;SC;(47) 3556-7754;(47) 98375-3273;1.69;48;AB-;amarelo
Andrea Aparecida Giovanna Rezende;62;389.119.294-09;43.628.905-2;21/03/1961;Feminino;Áries;Andreia Esther Mariana;Jorge Julio Anderson Rezende;andrea_aparecida_rezende@estadao.com.br;pIFQ2jWyOK;58090-760;Rua Evaldo Braga;956;Alto do Mateus;João Pessoa;PB;(83) 3927-7806;(83) 99481-6895;1.55;87;A+;verde
Samuel Cauã Erick Sales;46;248.030.368-37;17.650.324-9;18/01/1977;Masculino;Capricórnio;Maya Maitê;Rodrigo Guilherme Bernardo Sales;samuel_sales@metroquali.com.br;7GHEYCgeGH;74492-190;Rua P 8;435;Residencial Portinari;Goiânia;GO;(62) 2532-5637;(62) 98342-5364;1.94;96;B+;laranja
Eloá Sara da Luz;61;884.098.493-30;41.524.344-0;19/04/1962;Feminino;Áries;Ester Jéssica;Elias Danilo da Luz;eloa-daluz84@validtecnologia.com.br;6821rqe5tX;89239-308;Rua Roberto Meier;335;Pirabeiraba (Pirabeiraba);Joinville;SC;(47) 3533-0854;(47) 99526-9245;1.73;90;B-;azul
Eloá Lorena Almeida;80;995.710.953-70;21.221.622-3;15/01/1943;Feminino;Capricórnio;Valentina Fernanda Isabela;Isaac Benedito Rodrigo Almeida;eloa_almeida@deere.com;z1OxYTWqsh;97502-370;Beco da Delegacia;718;Santana;Uruguaiana;RS;(55) 2928-9022;(55) 99679-2761;1.76;62;A-;verde
Benjamin Anderson Davi Jesus;60;675.545.456-71;49.104.411-2;24/01/1963;Masculino;Aquário;Bruna Sueli;Manuel Ricardo Jesus;benjamin_anderson_jesus@bodyfast.com.br;u3zptwmPLI;96420-340;Rua Trezentos e Três;830;Castro Alves;Bagé;RS;(53) 3738-8931;(53) 99757-4217;1.85;55;O+;vermelho
Tomás Benjamin Monteiro;45;109.620.931-49;27.399.384-7;04/04/1978;Masculino;Áries;Patrícia Alana;César Tomás Monteiro;tomas_monteiro@hlt.arq.br;WOAglnMehi;59120-230;Rua Planalto;924;Potengi;Natal;RN;(84) 2584-3123;(84) 98157-3272;1.60;94;AB+;amarelo
Lucas Ian Oliver de Paula;46;064.584.114-56;47.445.886-6;09/03/1977;Masculino;Peixes;Raimunda Flávia;Antonio Kauê Pedro Henrique de Paula;lucasiandepaula@commscope.com;uiHyrq15i2;53220-411;Rua Monte Sinai;359;Peixinhos;Olinda;PE;(81) 2940-6182;(81) 98889-6858;1.88;57;O+;azul
Kauê Sérgio Kevin Carvalho;31;835.994.930-14;41.441.339-8;11/01/1992;Masculino;Capricórnio;Regina Nair Marina;Calebe Rodrigo Carvalho;kaue_sergio_carvalho@eccotrans.com.br;5ZpZonmOzw;75143-105;Rua Austrália;437;Jardim Nações Unidas;Anápolis;GO;(62) 2966-8458;(62) 99886-0090;1.90;72;B-;laranja
Valentina Camila Jennifer da Cunha;73;848.802.634-00;22.760.275-4;14/03/1950;Feminino;Peixes;Flávia Luciana;Roberto João Joaquim da Cunha;valentina_dacunha@madhause.com.br;t9UN3fSPDt;60312-050;Vila Vanusa;539;Carlito Pamplona;Fortaleza;CE;(85) 3750-8214;(85) 99265-6135;1.81;64;B+;amarelo
Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95;A+;azul
Daiane Bruna Bianca das Neves;24;579.158.429-60;15.968.581-3;11/02/1999;Feminino;Aquário;Benedita Priscila;Benjamin Bruno das Neves;daianebrunadasneves@wwlimpador.com.br;s6CTQLqstA;85603-388;Avenida Roma;927;Jardim Floresta;Francisco Beltrão;PR;(46) 3529-7032;(46) 98251-3767;1.72;68;O-;laranja
Isis Manuela Isabel Lima;47;471.429.675-28;23.786.449-6;13/01/1976;Feminino;Capricórnio;Tatiane Lívia;Eduardo Yago Lima;isis-lima74@comercialrafael.com.br;WTYZrSoOX4;49066-440;Travessa São João;335;Industrial;Aracaju;SE;(79) 3738-1367;(79) 98466-2821;1.79;57;B+;roxo
Maya Sarah Silveira;21;103.222.582-35;24.614.395-2;22/02/2002;Feminino;Peixes;Lavínia Sophia Helena;Geraldo Murilo Daniel Silveira;maya-silveira82@oliveiracontabil.com.br;bfCs0xjbbL;49095-770;Praça José Ariel Rabelo de Almeida;179;Jabotiana;Aracaju;SE;(79) 3820-0708;(79) 98359-3931;1.53;64;A-;laranja
Renan Francisco Campos;23;214.600.113-50;33.806.220-8;12/03/2000;Masculino;Peixes;Carla Cláudia;Tomás Kaique Gael Campos;renan_francisco_campos@bemdito.com.br;RqQHLzW15D;53580-721;1ª Travessa Rio Paraná;265;Fosfato;Abreu e Lima;PE;(81) 3506-3448;(81) 99848-7686;1.94;93;AB+;laranja
Analu Yasmin Helena da Rocha;52;115.998.555-34;12.693.127-6;07/02/1971;Feminino;Aquário;Aparecida Aparecida Rayssa;Thales Bernardo Victor da Rocha;analu-darocha71@freitasepozzatti.com.br;KgnlRlwIgq;59142-280;Rua Mahatma Gandhi;853;Santa Tereza;Parnamirim;RN;(84) 3853-3428;(84) 99284-2561;1.60;52;B+;preto
Stefany Rafaela Fogaça;69;190.222.901-07;15.967.480-3;26/03/1954;Feminino;Áries;Melissa Camila Louise;Luís Lucas Noah Fogaça;stefany_rafaela_fogaca@iaru.com;hElFFjop81;24722-150;Rua Poaca;446;Vista Alegre;São Gonçalo;RJ;(21) 2631-3692;(21) 99920-9294;1.58;68;A-;vermelho
Lorena Giovanna Antônia Peixoto;73;144.884.096-10;12.982.094-5;04/03/1950;Feminino;Peixes;Sarah Isabel;Marcelo Vicente Peixoto;lorena.giovanna.peixoto@panfletosecia.com;1MJQ62WyEi;69152-390;Rua das Acácias;195;João Novo;Parintins;AM;(92) 3808-1123;(92) 98558-5355;1.68;86;B-;roxo
Thomas Thomas Márcio Duarte;45;239.912.821-43;50.120.635-8;08/04/1978;Masculino;Áries;Eduarda Cecília Luzia;Lucas Benjamin Duarte;thomas_thomas_duarte@temavonfeccaosjc.com.br;otYqiE1KfE;65917-090;Rua Bom Jesus;944;Boca da Mata;Imperatriz;MA;(98) 3980-7138;(98) 99347-0692;1.65;65;A-;amarelo
Hugo Matheus Alves;73;380.040.107-09;39.153.966-8;08/03/1950;Masculino;Peixes;Clara Marli;Vinicius Mário Isaac Alves;hugo-alves85@steadyoffice.com.br;H1fodf9zFT;76824-343;Rua Júlia;771;Igarapé;Porto Velho;RO;(69) 2681-0943;(69) 98938-8624;1.71;58;B-;verde
Luiz Filipe Rafael Lopes;67;435.181.842-53;34.856.275-5;16/04/1956;Masculino;Áries;Alice Carolina Isadora;Martin Bruno Lopes;luiz_lopes@ovale.com.br;Qm3T4Wq9uc;88810-740;Rua 658;650;Archimedes Naspolini;Criciúma;SC;(48) 3866-0586;(48) 99920-5575;1.94;64;B+;preto
Giovanni Paulo Dias;74;065.414.036-78;24.791.709-6;09/03/1949;Masculino;Peixes;Larissa Luiza;Gabriel Ian Dias;giovanni_paulo_dias@tafeta.com.br;3KNXmXUgTS;86706-260;Rua Formigueiro-estrelado;713;Conjunto Padre Bernardo Merckel;Arapongas;PR;(43) 2973-3788;(43) 98944-4347;1.73;89;AB+;roxo
Marli Marcela Assunção;28;312.089.230-05;11.294.076-6;03/01/1995;Feminino;Capricórnio;Silvana Nicole Vera;Márcio Augusto Gael Assunção;marli_assuncao@mktec.com.br;BZw0rbuW9l;59149-260;Avenida Maria Amélia Machado;244;Emaús;Parnamirim;RN;(84) 2787-7800;(84) 99880-7410;1.79;67;O-;azul
Isis Catarina da Silva;23;571.896.337-15;21.869.995-5;09/02/2000;Feminino;Aquário;Benedita Bruna;Enzo Bernardo da Silva;isis-dasilva87@outlock.com.br;FX6dzK2P8e;57300-200;Praça Senhor do Bonfim;182;Centro;Arapiraca;AL;(82) 2699-9244;(82) 99454-2938;1.83;69;B+;preto
Luzia Isabelly Farias;61;387.160.649-92;19.623.997-7;21/04/1962;Feminino;Touro;Sônia Regina Renata;Gael Sebastião Lucas Farias;luziaisabellyfarias@me.com;dRcj7dDzJ3;64023-641;Rua Doutor Constantino Lopes da Silva;986;Catarina;Teresina;PI;(86) 3534-1768;(86) 99856-3153;1.63;67;A-;vermelho
Pedro Vitor Vitor Fernandes;18;697.923.776-46;14.415.049-9;14/01/2005;Masculino;Capricórnio;Carla Elisa;Marcelo Davi Fernandes;pedro_vitor_fernandes@trt15.jus.br;Gk3LQwP5r4;29111-592;Rua Oiticica;253;Cobilândia;Vila Velha;ES;(27) 3590-4469;(27) 99827-7079;2.00;55;O+;amarelo
Sebastiana Regina da Mota;52;004.184.246-40;39.403.415-6;23/02/1971;Feminino;Peixes;Maitê Maitê Sarah;Marcelo Caleb Vicente da Mota;sebastianareginadamota@transportesflores.com.br;uJnOXqyoRy;69912-210;Rua Tucano;214;Plácido de Castro;Rio Branco;AC;(68) 2676-1676;(68) 99677-0664;1.59;45;AB-;roxo
Benjamin Fábio Teixeira;75;045.319.415-00;38.419.061-3;02/04/1948;Masculino;Áries;Luana Vitória Antônia;Vinicius Luís Cauê Teixeira;benjamin-teixeira85@mx.labinal.com;9SoLW6ySrc;76812-396;Rua Liberdade;448;Três Marias;Porto Velho;RO;(69) 2863-9458;(69) 99907-2676;1.72;101;O+;roxo
Heloise Marcela Porto;33;168.913.849-15;17.910.902-9;18/01/1990;Feminino;Capricórnio;Beatriz Esther Isis;Kevin Mateus Vicente Porto;heloise_porto@vizzacchi.com.br;mqk2ehK53Z;49067-183;Travessa Novo Éden;129;Porto D'Antas;Aracaju;SE;(79) 3673-6529;(79) 98719-6512;1.77;67;O+;laranja
Nina Carolina Priscila Silva;70;410.168.127-95;40.844.854-4;18/04/1953;Feminino;Áries;Ayla Benedita Rayssa;Jorge Benedito Kevin Silva;nina-silva99@ddfnet.com.br;TuCH9K3Zhy;35904-035;Rua Juriti;271;Pedreira;Itabira;MG;(31) 2692-4421;(31) 98113-8616;1.60;76;A+;preto
Theo Gustavo Oliveira;26;427.998.799-85;20.748.476-4;17/03/1997;Masculino;Peixes;Rafaela Jaqueline;Benício Danilo Sebastião Oliveira;theo-oliveira83@likaleal.com.br;r0QGG6QF1s;57600-120;Rua Fernandes Lima;954;Centro;Palmeira dos Índios;AL;(82) 3819-3863;(82) 99479-3458;1.96;58;A-;vermelho
Fabiana Mariane Peixoto;45;383.232.481-09;50.838.004-2;19/04/1978;Feminino;Áries;Nicole Daiane;Victor Leandro Benício Peixoto;fabiana_mariane_peixoto@psq.med.br;qNO7edPgCo;73369-508;Quadra MR 05;769;Residencial Condomínio Marissol (Planaltina);Brasília;DF;(61) 2759-4998;(61) 99969-0088;1.68;46;O-;preto
Francisco Joaquim Novaes;19;421.512.730-08;38.681.744-3;20/03/2004;Masculino;Peixes;Valentina Fernanda;Theo José Novaes;francisco-novaes75@nipnet.com.br;hRbqlstwwg;55004-042;2ª Travessa General Osório;614;Nossa Senhora das Dores;Caruaru;PE;(81) 3536-6182;(81) 98365-0647;1.88;73;AB-;vermelho
Hugo Danilo Diego Campos;68;906.280.410-12;37.743.908-3;09/01/1955;Masculino;Capricórnio;Larissa Helena;Leonardo Vitor Hugo Campos;hugo-campos77@grupomegavale.com.br;Lq91hwgNJG;57035-270;Rua João Gualberto Pereira do Carmo;767;Ponta Verde;Maceió;AL;(82) 2522-4072;(82) 98787-3314;1.69;68;O-;vermelho
Hadassa Jennifer Cristiane Drumond;36;774.901.672-48;15.631.083-1;23/01/1987;Feminino;Aquário;Maya Sabrina;Augusto Diogo Heitor Drumond;hadassa_drumond@eletrotex.com.br;mniWAyn5Id;79010-300;Rua do Livramento;242;Coronel Antonino;Campo Grande;MS;(67) 2621-8732;(67) 99819-1093;1.64;65;O+;laranja
Benício Daniel Nunes;31;812.573.512-73;18.687.829-1;10/04/1992;Masculino;Áries;Marli Brenda;Antonio Marcos Vinicius Nunes;beniciodanielnunes@power.alston.com;OFsM5DCSDi;60530-300;Rua 202D;639;Conjunto Ceará;Fortaleza;CE;(85) 2859-1697;(85) 98685-9146;1.92;66;B+;preto
Maitê Julia Eliane Lima;25;473.856.535-45;33.916.522-4;14/02/1998;Feminino;Aquário;Fernanda Stella Isabelle;Ian Renan Lima;maite-lima88@marmorariauchoa.com;MiMQN7lDcx;76808-162;Rua Miguel Calmon;855;Caladinho;Porto Velho;RO;(69) 2814-6771;(69) 98128-7270;1.63;65;B+;azul
Mirella Elza Eloá Mendes;23;923.615.608-87;22.163.298-0;24/03/2000;Feminino;Áries;Mariane Tânia Ayla;Cauã Lorenzo Ryan Mendes;mirella-mendes76@achievecidadenova.com.br;RLa9Hszc0h;20760-370;Rua Nossa Senhora das Graças;643;Inhaúma;Rio de Janeiro;RJ;(21) 3943-8584;(21) 99804-7136;1.78;52;B+;laranja
Henry Vinicius Daniel de Paula;23;673.573.076-38;32.921.069-5;20/03/2000;Masculino;Peixes;Juliana Esther Heloise;Henry Paulo Yago de Paula;henry-depaula83@baptistas.com.br;FuuTFjZTPc;64608-120;Rua Recife;580;Parque de Exposição;Picos;PI;(89) 3803-8947;(89) 99270-6150;1.88;53;A+;verde
Osvaldo Kaique Barbosa;70;378.623.009-98;15.319.365-7;22/01/1953;Masculino;Aquário;Gabrielly Cláudia;Levi Bernardo Felipe Barbosa;osvaldo_barbosa@knowconsulting.com.br;9F8nsWstK1;60191-650;Rua 15A;190;Manoel Dias Branco;Fortaleza;CE;(85) 3622-0060;(85) 99632-6894;1.79;82;A+;amarelo
Anthony Anderson Kaique Santos;33;816.752.813-86;11.206.749-9;22/04/1990;Masculino;Touro;Andrea Eloá Ana;Edson Arthur Rafael Santos;anthony_anderson_santos@maxilajes.com.br;YkR1PMlGnc;69908-692;Travessa Canaã;554;Loteamento Santa Helena;Rio Branco;AC;(68) 2877-7594;(68) 98534-9795;1.72;84;A+;azul
Kevin Jorge Cavalcanti;24;566.707.179-70;10.819.143-6;09/03/1999;Masculino;Peixes;Márcia Antonella;Carlos Eduardo André Cavalcanti;kevinjorgecavalcanti@ig.com;zRoq8Etsfo;57030-582;Rua Doutor José Corrêa Filho;117;Ponta da Terra;Maceió;AL;(82) 2982-7804;(82) 99520-9973;1.90;96;B+;roxo
Leandro Raimundo Costa;59;369.967.169-00;49.671.847-2;01/04/1964;Masculino;Áries;Isabella Camila;Diogo Breno Renan Costa;leandro_raimundo_costa@esctech.com.br;PPUDEsgFkn;74355-689;Rua Valídio Spirandelli;830;Setor Orientville;Goiânia;GO;(62) 2757-2739;(62) 99945-3739;1.79;103;A+;verde
Lucca Benjamin Pedro Castro;28;976.455.126-28;49.947.468-5;20/04/1995;Masculino;Áries;Renata Rosângela;Enzo Mateus Nelson Castro;lucca-castro94@bsd.com.br;CQCftkDH1r;13905-111;Rua Bélgica;153;Jardim Camandocaia;Amparo;SP;(19) 3538-4492;(19) 98637-8463;1.89;82;AB-;laranja
Patrícia Ester Galvão;79;209.998.187-67;33.988.914-7;17/01/1944;Feminino;Capricórnio;Nicole Natália Isabel;Victor Nicolas Márcio Galvão;patricia_ester_galvao@conexao.com;xFeRmn6Yc4;72856-120;Quadra Quadra 150;925;Mansões de Recreio Estrela Dalva IV;Luziânia;GO;(61) 3722-7280;(61) 99725-4463;1.53;58;AB-;vermelho
Leonardo Diogo Benício Brito;46;651.042.611-07;32.530.428-2;13/04/1977;Masculino;Áries;Tatiane Laura;Julio Raul Brito;leonardodiogobrito@embraer.com.br;zwAmL8NRq6;77019-427;Quadra 1203 Sul Alameda 18;248;Plano Diretor Sul;Palmas;TO;(63) 2639-5631;(63) 99231-7361;1.64;78;B+;verde
Letícia Mariane Rodrigues;65;070.235.858-42;17.992.233-6;09/03/1958;Feminino;Peixes;Nina Rayssa Heloise;Luís Márcio Rodrigues;leticia_mariane_rodrigues@policiamilitar.sp.gov.br;LYxMkgn8tE;30570-560;Rua Rômulo Bressane Lopes;280;Parque São José;Belo Horizonte;MG;(31) 3861-8392;(31) 98604-2631;1.51;57;A+;laranja
Tatiane Vitória Ana Silveira;70;701.312.249-13;44.700.148-6;25/01/1953;Feminino;Aquário;Amanda Julia Stella;Gael Noah Osvaldo Silveira;tatiane-silveira90@biconsult.com.br;QHzPF0uXhs;76806-860;Rua Cacoal;981;Nova Floresta;Porto Velho;RO;(69) 2892-7319;(69) 99544-2731;1.73;68;O+;laranja
Isabelle Jennifer Clarice Caldeira;70;727.736.783-97;46.406.662-1;15/04/1953;Feminino;Áries;Andreia Julia Aurora;André Ryan Caldeira;isabelle_jennifer_caldeira@ltecno.com.br;XuYRCYaHg3;65066-718;Rua Nove;385;Conjunto Habitacional Turu;São Luís;MA;(98) 2748-7931;(98) 99273-8908;1.66;53;AB+;azul
Paulo Noah Cauã Moraes;45;478.494.394-30;27.373.601-2;19/04/1978;Masculino;Áries;Francisca Jéssica;Martin Caio Ricardo Moraes;paulo_moraes@2registrocivil.com.br;MHQFELNM6Y;25035-400;Rua Entre-Rios;861;Vila Leopoldina;Duque de Caxias;RJ;(21) 3667-0103;(21) 98342-8544;2.00;53;B+;vermelho
Emanuelly Gabriela Nicole da Paz;63;560.192.998-05;16.964.591-5;02/01/1960;Feminino;Capricórnio;Carolina Heloisa Mariane;Ian Julio da Paz;emanuellygabrieladapaz@trbvm.com;62yy8DnsDo;59035-146;Vila Lídia;838;Quintas;Natal;RN;(84) 2893-2835;(84) 99489-4029;1.51;67;O-;amarelo
Yago Arthur Dias;53;277.915.565-53;34.332.514-7;01/01/1970;Masculino;Capricórnio;Rayssa Isabel Rafaela;Ruan Pedro Dias;yago.arthur.dias@huios.com.br;jrPa4uMuUO;85301-280;Rua Governador Trota;717;Centro;Laranjeiras do Sul;PR;(42) 3860-8595;(42) 99199-3292;1.89;107;AB+;vermelho
Brenda Laura Corte Real;73;682.415.337-05;41.148.700-0;26/01/1950;Feminino;Aquário;Heloisa Laís;Cláudio Vitor Benício Corte Real;brenda_cortereal@glaudeimar.com.br;SkLj4gpT5I;69915-062;Rua Petrópolis;923;Loteamento Ipanema;Rio Branco;AC;(68) 2551-2013;(68) 98375-0773;1.80;89;A-;vermelho
Rodrigo Eduardo Oliver Sales;18;314.904.335-20;14.277.420-0;21/01/2005;Masculino;Aquário;Elisa Joana;Alexandre Lucas Hugo Sales;rodrigo_eduardo_sales@juliosimoes.com.br;gPYAOd7jWl;37014-070;Rua Orestes Diniz;929;Vila Santa Cruz;Varginha;MG;(35) 3935-3230;(35) 98959-0011;1.61;110;A+;preto
José Guilherme Felipe Corte Real;21;903.531.747-50;21.339.511-3;18/04/2002;Masculino;Áries;Vera Nicole;Diego Davi Corte Real;jose.guilherme.cortereal@mastria.com.br;XcsjpbDU9d;69029-090;Avenida Luiz de Camões;706;Santo Antônio;Manaus;AM;(92) 2866-4240;(92) 98494-2716;1.79;79;A-;amarelo
Tomás Marcelo Vitor Moreira;71;408.917.519-47;25.987.486-3;26/01/1952;Masculino;Aquário;Alice Natália Sônia;Fernando Francisco Moreira;tomas.marcelo.moreira@boiago.com.br;yU1pwmh2sg;72501-100;Quadra AC 101;832;Santa Maria;Brasília;DF;(61) 2961-5659;(61) 99714-4291;1.96;67;B+;roxo
Lucca Fábio Costa;41;741.392.633-42;36.894.643-5;20/03/1982;Masculino;Peixes;Clarice Vanessa;Murilo Jorge Rafael Costa;luccafabiocosta@baptistas.com.br;jaOxBMra1b;69911-316;Rua Xapuri;968;Conjunto Bela Vista;Rio Branco;AC;(68) 3998-3668;(68) 98668-3950;1.67;82;A+;verde
César Luiz Raimundo Rocha;59;763.331.902-09;49.856.867-2;12/01/1964;Masculino;Capricórnio;Ayla Lara Rebeca;Daniel Daniel Otávio Rocha;cesarluizrocha@mosman.com.br;ahgdS66pqS;69919-820;Rua N1;588;Conjunto Tucumã;Rio Branco;AC;(68) 2598-0956;(68) 99594-2027;1.88;50;O-;verde
Iago Murilo João Nogueira;60;502.511.733-05;42.865.593-2;08/04/1963;Masculino;Áries;Sandra Elaine Daiane;Hugo Elias Nogueira;iago-nogueira73@truckeixo.com.br;IMY1MP9tmd;69901-058;Travessa Santa Luzia;667;Morada do Sol;Rio Branco;AC;(68) 3755-8242;(68) 99584-1431;1.92;97;O+;vermelho
Marcelo Joaquim Yuri Aparício;29;629.929.829-46;41.648.643-5;23/02/1994;Masculino;Peixes;Cecília Carolina;André Ian Levi Aparício;marcelo.joaquim.aparicio@metraseg.com.br;9joA1W0fOD;29194-715;Rua Espírito Santo;207;Guaxindiba;Aracruz;ES;(27) 3998-5702;(27) 99663-9034;1.85;102;O+;vermelho
